Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
654.419,586.11,100,586.25,585.97,2
655.981,586.11,100,586.25,585.97,2
656.968,586.095,200,586.25,585.94,2
657.994,585.97,100,586.03,585.91,102
658.849,585.97,100,586.03,585.91,100
659.778,585.96,100,586.03,585.89,100
660.657,585.965,100,586.03,585.9,10
661.757,586.02,370,586.14,585.9,12
662.53,586.02,100,586.13,585.91,2
663.025,586.02,100,586.13,585.91,2
664.927,586.105,100,586.2,586.01,100
665.622,586.175,100,586.25,586.1,100
666.819,586.23,78,586.3,586.16,200
667.927,586.225,78,586.3,586.15,300
668.728,586.225,78,586.3,586.15,300
669.706,586.27,66,586.39,586.15,302
670.897,586.3,20,586.45,586.15,300
671.949,586.335,20,586.45,586.22,2
672.426,586.345,20,586.45,586.24,2
673.854,586.345,20,586.45,586.24,2
674.998,586.395,20,586.45,586.34,300
675.904,586.345,20,586.45,586.24,2
676.648,586.345,20,586.45,586.24,2
677.438,586.355,20,586.45,586.26,100
678.486,586.355,20,586.45,586.26,100
679.628,586.36,20,586.45,586.27,100
680.769,586.35,18,586.42,586.28,2
681.205,586.335,100,586.4,586.27,100
682.679,586.305,100,586.34,586.27,300
683.842,586.315,100,586.35,586.28,200
684.567,586.33,100,586.36,586.3,200
685.964,586.355,100,586.42,586.29,100
686.893,586.37,20,586.45,586.29,102
687.685,586.41,500,586.53,586.29,102
688.593,586.41,500,586.53,586.29,100
689.893,586.39,100,586.49,586.29,100
690.967,586.41,50,586.53,586.29,100
691.802,586.515,25,586.65,586.38,2
692.384,586.5,25,586.65,586.35,100
693.815,586.42,100,586.49,586.35,100
694.986,586.42,100,586.49,586.35,100
695.533,586.42,100,586.49,586.35,100
696.891,586.42,100,586.49,586.35,100
697.436,586.42,100,586.49,586.35,100
698.648,586.435,100,586.49,586.38,75
699.922,586.185,100,586.25,586.12,100
700.926,586.18,100,586.23,586.13,209
701.629,586.19,100,586.23,586.15,300
703.873,586.19,284,586.23,586.15,300
704.837,586.275,100,586.38,586.17,300
705.305,586.275,100,586.38,586.17,300
706.697,586.29,100,586.38,586.2,9
707.712,586.36,100,586.48,586.24,9
708.914,586.36,100,586.48,586.24,209
709.763,586.365,18,586.47,586.26,9
710.294,586.375,100,586.49,586.26,9
711.742,586.375,100,586.49,586.26,9
713.453,586.365,100,586.47,586.26,9
714.831,586.375,100,586.47,586.28,9
715.927,586.365,100,586.45,586.28,9
716.965,586.3,100,586.42,586.18,100
717.816,586.3,100,586.42,586.18,100
718.214,586.285,18,586.39,586.18,100
719.85,586.29,100,586.4,586.18,100
720.35,586.28,100,586.38,586.18,100
721.322,586.29,100,586.4,586.18,100
